AssetID,AssetType,InstallDate,AgeYears,ConditionScore,LastMaintenanceDate,Region,Latitude,Longitude,InspectionDate,Commodity,System,DiameterInches,Material,CoatingType,SeamType,MAOP_psig,HCA_Flag,ClassLocation,SoilCorrosivityIndex,CPZoneID,CPStatus,LastCPSurveyDate,PipeToSoilPotential_mV,LastILI_Date,ILI_Anomalies_Count,LeakHistoryCount,CorrosionRiskScore,CorrosionRiskScore_Rubric
A100001,Pole,2000-11-02,24,1,2005-05-02,San Francisco,37.73417,-122.36056,2021-11-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100002,Feeder,1978-09-07,46,1,1986-09-01,San Francisco,37.76084,-122.3617,2019-03-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100003,Switchgear,1979-04-03,46,5,2017-08-11,East Bay,37.80412,-122.02507,2025-05-29,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100004,Substation Equipment,2011-02-08,14,5,2012-10-06,North Bay,38.09182,-123.01537,2018-04-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100005,Feeder,2000-01-08,25,1,2006-04-07,Peninsula,37.64401,-122.27731,2011-09-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100006,Switchgear,1984-09-04,40,5,1998-10-15,San Francisco,37.70166,-122.51298,2019-06-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100007,Substation Equipment,2018-03-04,7,5,2024-11-06,Peninsula,37.42402,-122.4047,2025-04-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100008,Pole,1998-02-18,27,1,2023-09-21,Central Valley,36.68886,-121.33643,2024-12-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100009,Feeder,1988-08-22,36,5,2008-02-04,North Bay,38.3307,-122.92751,2016-01-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100010,Gas Valve,2004-10-15,20,3,2011-10-14,Sierra,39.00314,-120.01796,2013-10-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100011,Substation Equipment,1986-12-25,38,2,1990-12-05,South Bay,37.06019,-121.61251,2024-04-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100012,Gas Valve,2008-08-11,17,4,2015-05-05,Peninsula,37.37724,-122.29498,2020-02-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100013,Transformer,1982-09-14,42,2,2016-12-08,Peninsula,37.43147,-122.1338,2017-11-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100014,Pole,2006-07-02,19,1,2023-12-03,San Francisco,37.71635,-122.50063,2025-04-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100015,Feeder,1995-06-23,30,3,2022-05-30,Peninsula,37.54706,-122.3347,2023-02-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100016,Feeder,2004-02-27,21,1,2010-06-26,East Bay,37.70075,-122.39097,2023-04-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100017,Regulator,2017-02-02,8,3,2024-08-14,East Bay,37.71159,-122.2624,2024-11-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100018,Regulator,2003-05-23,22,4,2023-07-23,Peninsula,37.37583,-122.47628,2025-03-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100019,Gas Valve,1976-08-12,49,2,1987-05-23,Central Valley,36.80921,-121.47333,2014-09-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100020,Transformer,1988-05-05,37,2,2006-06-19,East Bay,37.97278,-121.81508,2015-01-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100021,Substation Equipment,2006-02-06,19,4,2015-05-20,East Bay,37.6011,-121.60602,2019-02-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100022,Gas Valve,1983-07-28,42,5,1996-05-01,Peninsula,37.38998,-122.40619,2022-06-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100023,Switchgear,1997-11-13,27,2,2004-11-28,Central Valley,37.02679,-121.48881,2017-06-25,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100024,Pole,1984-04-22,41,2,1985-02-13,North Bay,38.27647,-123.14088,2014-04-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100025,Substation Equipment,2012-03-09,13,3,2012-07-20,East Bay,37.50044,-122.38547,2021-06-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100026,Switchgear,2009-06-20,16,5,2016-11-20,South Bay,37.28956,-122.16037,2020-04-30,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100027,Regulator,2007-10-21,17,1,2018-04-26,South Bay,37.08093,-121.74616,2025-04-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100028,Substation Equipment,2018-09-13,6,4,2023-06-13,Sierra,38.56538,-121.10464,2024-08-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100029,Transformer,2005-11-13,19,1,2010-06-01,East Bay,37.5346,-122.34938,2011-06-29,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100030,Pole,2003-03-04,22,3,2016-12-01,North Bay,38.69943,-122.42996,2017-11-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100031,Transformer,1975-10-05,49,5,1985-02-18,North Bay,38.37921,-122.42777,2019-03-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100032,Feeder,1976-02-28,49,2,2010-03-09,San Francisco,37.70705,-122.385,2024-06-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100033,Regulator,1991-06-20,34,3,2013-01-03,South Bay,37.4158,-121.91097,2017-09-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100034,Transformer,2006-08-16,18,4,2013-11-21,North Bay,38.61825,-122.88629,2023-11-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100035,Pole,1981-12-11,43,3,2003-09-08,North Bay,38.64012,-122.346,2015-12-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100036,Regulator,1985-09-01,39,2,2009-08-20,Sierra,38.72127,-120.067,2015-01-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100037,Pole,2019-09-01,5,5,2021-08-11,San Francisco,37.78056,-122.36088,2023-04-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100038,Substation Equipment,1980-12-28,44,3,2004-07-08,Central Valley,37.16373,-120.85938,2018-08-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100039,Pole,1997-04-18,28,5,2020-02-13,San Francisco,37.81928,-122.46948,2021-06-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100040,Regulator,1989-10-26,35,2,2000-10-30,San Francisco,37.76673,-122.39851,2023-06-26,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100041,Switchgear,2022-04-07,3,5,2023-12-02,Sierra,38.98823,-120.78427,2024-06-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100042,Regulator,1976-01-26,49,3,2018-09-16,San Francisco,37.76362,-122.51828,2025-02-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100043,Pole,2019-10-12,5,4,2024-08-01,San Francisco,37.79073,-122.39616,2025-03-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100044,Gas Valve,1998-02-08,27,1,2008-07-21,Central Valley,37.30437,-121.28754,2021-07-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100045,Pole,1996-04-16,29,5,2023-12-09,East Bay,37.89758,-121.70422,2025-07-31,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100046,Transformer,2005-11-12,19,1,2020-12-14,Sierra,38.79726,-120.41738,2022-07-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100047,Switchgear,2020-04-16,5,2,2022-12-30,North Bay,38.16383,-122.94611,2025-06-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100048,Regulator,1996-02-26,29,4,2017-03-15,Sierra,39.08993,-120.80689,2020-06-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100049,Regulator,1980-12-06,44,2,1986-11-26,East Bay,37.97987,-121.66395,2018-04-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100050,Pole,2012-08-26,12,2,2023-07-25,North Bay,38.3898,-122.70689,2024-03-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100051,Gas Valve,1984-09-18,40,2,1985-12-12,Central Valley,36.72972,-120.80364,2019-10-29,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100052,Substation Equipment,2021-11-04,3,5,2024-03-20,North Bay,38.18043,-123.1812,2025-08-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100053,Switchgear,1987-04-01,38,3,1997-01-24,South Bay,37.02051,-121.60251,2000-12-14,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100054,Feeder,1990-10-11,34,3,2015-06-20,San Francisco,37.75889,-122.46895,2025-06-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100055,Substation Equipment,1983-01-24,42,3,2023-08-09,East Bay,37.90591,-122.14467,2024-10-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100056,Regulator,2012-09-14,12,5,2015-11-29,East Bay,37.60141,-122.07212,2022-01-11,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100057,Pole,2008-09-01,16,4,2013-01-18,Peninsula,37.54611,-122.14921,2019-10-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100058,Transformer,1984-03-05,41,4,2012-03-21,Peninsula,37.44271,-122.38367,2013-05-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100059,Transformer,2010-01-11,15,5,2022-03-16,Central Valley,36.54152,-121.47154,2023-10-14,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100060,Switchgear,1981-09-02,43,2,1990-07-11,Peninsula,37.59977,-122.12492,2017-12-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100061,Transformer,1981-09-15,43,5,1983-03-25,San Francisco,37.76467,-122.46775,2016-02-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100062,Transformer,2003-06-20,22,5,2017-05-02,Sierra,39.56899,-120.07625,2020-11-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100063,Pole,2019-05-15,6,5,2025-01-01,Peninsula,37.31868,-122.11899,2025-03-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100064,Pole,2019-09-09,5,5,2021-02-04,Peninsula,37.43353,-122.25265,2022-01-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100065,Switchgear,1983-07-04,42,4,2003-08-11,Sierra,39.17093,-120.27366,2015-02-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100066,Transformer,2017-04-14,8,1,2019-12-11,San Francisco,37.81813,-122.37741,2023-11-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100067,Gas Valve,1982-03-23,43,3,1988-11-28,Central Valley,37.15139,-120.7721,2009-10-31,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100068,Pole,2004-04-24,21,1,2013-07-08,San Francisco,37.74032,-122.50991,2017-01-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100069,Pole,2017-04-06,8,4,2023-04-26,East Bay,37.77056,-121.78492,2025-01-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100070,Gas Valve,2001-04-12,24,3,2005-09-08,East Bay,37.72828,-122.05872,2016-02-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100071,Gas Valve,1976-06-18,49,4,2016-04-01,Central Valley,37.95485,-120.52201,2016-07-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100072,Transformer,1999-06-17,26,5,2012-12-25,Central Valley,37.78373,-120.80046,2019-10-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100073,Transformer,1982-04-04,43,1,1994-06-11,Peninsula,37.60799,-122.28539,2000-11-29,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100074,Transformer,1986-05-25,39,2,2023-06-11,San Francisco,37.74393,-122.38029,2025-05-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100075,Substation Equipment,2018-05-13,7,2,2024-08-26,East Bay,37.58994,-121.66319,2024-10-05,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100076,Feeder,2006-12-11,18,1,2013-06-23,Peninsula,37.61651,-122.14224,2024-09-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100077,Substation Equipment,2019-03-14,6,1,2022-06-27,North Bay,38.56957,-122.31988,2025-05-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100078,Regulator,1980-05-03,45,5,2019-01-07,North Bay,38.48509,-122.37215,2019-09-16,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100079,Transformer,1991-02-15,34,1,2006-08-11,South Bay,37.03862,-121.61464,2015-02-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100080,Switchgear,1992-10-05,32,1,2016-09-01,Peninsula,37.4901,-122.29567,2019-06-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100081,Pole,1982-03-09,43,1,1990-08-01,Central Valley,36.86073,-121.32444,2020-11-08,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100082,Gas Valve,2015-05-17,10,2,2018-11-24,South Bay,37.43015,-122.25318,2021-06-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100083,Feeder,2018-03-09,7,3,2018-08-30,East Bay,37.69202,-122.12287,2023-08-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100084,Transformer,1975-01-24,50,5,2024-10-09,San Francisco,37.81457,-122.43923,2025-08-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100085,Feeder,2005-04-15,20,1,2020-04-28,South Bay,37.16968,-121.68187,2022-11-16,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100086,Regulator,2002-11-16,22,5,2021-11-13,Sierra,39.63871,-120.23428,2024-04-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100087,Feeder,1994-12-07,30,2,2010-07-30,East Bay,37.67123,-122.33597,2023-11-16,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100088,Substation Equipment,2020-12-21,4,2,2023-07-07,South Bay,37.16628,-122.17496,2025-01-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100089,Transformer,1983-01-03,42,3,2002-08-08,San Francisco,37.73304,-122.49959,2022-01-14,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100090,Transformer,1980-11-27,44,4,2020-03-24,South Bay,37.33117,-121.91334,2021-12-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100091,Regulator,1993-10-08,31,3,1996-01-27,Peninsula,37.61335,-122.1937,2002-08-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100092,Pole,1985-05-15,40,1,1997-06-13,East Bay,37.61402,-121.96412,1999-03-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100093,Gas Valve,2010-06-08,15,1,2017-08-25,San Francisco,37.78658,-122.47721,2022-02-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100094,Gas Valve,1986-01-11,39,4,1990-01-24,South Bay,37.2195,-121.95376,2018-08-07,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100095,Gas Valve,2007-11-07,17,2,2019-06-11,East Bay,37.66639,-121.89205,2020-01-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100096,Transformer,1980-05-27,45,1,1987-02-17,Sierra,38.63021,-120.65157,1999-08-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100097,Feeder,1977-07-01,48,3,2005-01-24,East Bay,37.92295,-121.92602,2021-04-26,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100098,Pole,1980-10-17,44,2,2010-07-25,Central Valley,37.12012,-120.90511,2012-12-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100099,Substation Equipment,2013-07-25,12,3,2024-12-02,Central Valley,36.75133,-121.43753,2025-07-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100100,Gas Valve,2021-10-21,3,2,2022-03-14,South Bay,37.37566,-122.10701,2024-05-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100101,Substation Equipment,2020-09-21,4,4,2023-10-31,Sierra,38.86924,-120.52162,2025-02-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100102,Feeder,2007-10-27,17,1,2023-06-28,South Bay,37.24069,-122.05282,2023-09-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100103,Substation Equipment,2020-11-23,4,2,2021-08-24,Peninsula,37.39393,-122.35926,2023-12-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100104,Transformer,1983-11-12,41,1,2001-01-11,North Bay,38.26198,-122.4312,2023-02-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100105,Switchgear,2010-01-21,15,1,2024-05-17,Sierra,38.88939,-120.26478,2025-02-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100106,Regulator,1990-08-09,35,1,2011-05-17,Peninsula,37.60381,-122.42131,2024-12-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100107,Transformer,2022-09-18,2,1,2024-06-17,Sierra,39.43389,-120.47046,2025-02-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100108,Regulator,2022-08-09,2,1,2023-08-15,North Bay,38.21495,-122.92041,2023-12-28,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100109,Regulator,1988-04-24,37,4,2010-09-28,South Bay,37.22646,-122.06839,2015-06-25,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100110,Switchgear,1979-08-22,45,3,2014-04-26,Sierra,39.56732,-120.03669,2024-03-21,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100111,Feeder,2015-11-07,9,1,2022-11-06,North Bay,38.44198,-122.34855,2024-02-23,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100112,Gas Valve,1991-11-24,33,3,2020-01-12,South Bay,37.20623,-121.78355,2022-03-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100113,Pole,1975-08-02,50,4,1999-12-21,Peninsula,37.62582,-122.19675,2020-07-13,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100114,Transformer,2019-04-22,6,4,2022-11-03,Central Valley,36.67122,-121.19607,2024-02-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100115,Feeder,1993-08-15,32,4,1999-03-18,Central Valley,36.85952,-121.32915,2006-11-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100116,Pole,1994-02-16,31,1,2007-05-23,Peninsula,37.59975,-122.15386,2025-06-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100117,Transformer,2007-08-09,18,4,2012-07-31,East Bay,37.95635,-122.35027,2021-07-16,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100118,Transformer,2012-02-05,13,5,2018-03-29,South Bay,37.20242,-122.01662,2020-10-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100119,Pole,2013-11-17,11,3,2024-02-05,San Francisco,37.79242,-122.51811,2025-05-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100120,Regulator,1998-04-16,27,4,2016-03-28,North Bay,38.27957,-122.90789,2019-09-02,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100121,Pole,1975-08-22,49,4,2012-04-13,North Bay,38.41204,-122.41684,2018-12-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100122,Regulator,1984-07-12,41,4,1998-12-24,San Francisco,37.77828,-122.37551,1999-09-02,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100123,Substation Equipment,1996-01-11,29,3,2014-03-02,North Bay,38.49832,-122.36411,2020-04-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100124,Pole,2020-01-24,5,3,2021-10-03,North Bay,38.52406,-122.89788,2025-04-12,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100125,Transformer,2000-07-28,25,5,2004-04-09,San Francisco,37.81477,-122.45964,2011-09-11,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100126,Switchgear,1992-01-09,33,1,1994-08-11,San Francisco,37.81191,-122.42192,1997-03-20,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100127,Regulator,1993-11-05,31,2,2006-01-14,Sierra,39.06225,-120.18149,2024-10-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100128,Feeder,1995-04-25,30,3,2014-10-10,East Bay,37.76031,-121.81729,2023-06-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100129,Substation Equipment,2015-07-18,10,5,2018-02-05,North Bay,38.25679,-122.75651,2021-08-30,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100130,Transformer,1978-12-14,46,4,1991-08-28,Central Valley,37.56244,-121.33345,2002-03-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100131,Substation Equipment,1993-08-02,32,5,1999-07-27,Central Valley,37.94128,-121.21189,2009-11-01,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100132,Switchgear,2001-06-10,24,3,2013-03-09,South Bay,37.12079,-121.67887,2020-09-29,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100133,Regulator,2016-05-13,9,2,2020-01-05,Central Valley,37.3679,-121.25824,2021-09-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100134,Feeder,2017-07-04,8,2,2024-12-28,East Bay,37.77505,-121.84862,2025-04-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100135,Transformer,1988-09-26,36,4,2013-09-12,South Bay,37.01653,-121.69162,2016-06-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100136,Switchgear,1996-08-14,29,2,2021-06-18,South Bay,37.21656,-122.17862,2022-08-11,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100137,Pole,1980-03-11,45,5,1984-07-20,South Bay,37.15592,-122.09151,2022-08-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100138,Pole,1998-05-26,27,5,2007-09-27,San Francisco,37.76704,-122.44249,2019-02-22,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100139,Regulator,2001-07-14,24,5,2011-03-24,North Bay,38.19693,-123.00911,2021-02-19,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100140,Gas Valve,1996-01-16,29,3,2022-01-28,East Bay,37.89353,-122.3736,2023-07-02,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100141,Pole,2018-09-17,6,2,2020-01-09,San Francisco,37.7949,-122.44141,2024-12-24,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100142,Pole,1999-07-21,26,4,2019-03-13,San Francisco,37.7498,-122.37864,2024-06-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100143,Substation Equipment,1976-03-02,49,4,2018-11-25,San Francisco,37.81074,-122.44215,2024-06-04,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100144,Switchgear,1975-02-13,50,5,2017-05-23,Peninsula,37.31758,-122.32192,2023-05-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100145,Pole,1981-04-05,44,2,2004-12-18,East Bay,37.68859,-122.19619,2009-11-06,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100146,Transformer,2021-12-21,3,4,2022-06-26,Central Valley,37.87019,-120.85584,2024-02-15,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100147,Substation Equipment,1977-01-26,48,2,1998-03-18,Peninsula,37.63897,-122.44319,2018-02-09,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100148,Transformer,2016-12-10,8,2,2024-03-29,Peninsula,37.47091,-122.48986,2025-02-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100149,Feeder,2015-07-23,10,1,2016-12-11,San Francisco,37.75406,-122.50427,2017-01-30,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100150,Gas Valve,2008-10-07,16,4,2014-11-22,North Bay,38.13324,-122.53057,2015-05-27,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100151,Substation Equipment,2013-01-01,12,5,2020-01-15,South Bay,37.28751,-121.83885,2024-04-03,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100152,Gas Valve,1995-11-27,29,2,2017-07-01,East Bay,37.63575,-121.60212,2017-11-17,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100153,Pole,2010-04-01,15,4,2025-02-02,Peninsula,37.38449,-122.41318,2025-06-10,Electric,,,,,,,N,,,,Unknown,,,,,0,,
A100154,Transformer,1976-04-16,49,4,1983-11-03,San Francisco,37.79439,-122.51125,2011-07-25,Electric,,,,,,,N,,,,Unknown,,,,,0,,
