WorkOrderID,AssetID,AssetType,Region,Latitude,Longitude,Status,Priority,RiskScore,CreatedDate,DueDate,DaysOverdue,AssignedCrewID,Commodity,CPZoneID,HCA_Flag,RiskScore_Rubric,Priority_Rubric
WO200179,A100130,Transformer,Central Valley,37.72478,-120.93116,Closed,Critical,10,2025-06-24,2025-08-06,0,C111,Electric,,,,
WO200180,A100221,Pole,Central Valley,36.98126,-121.32765,Open,Critical,10,2025-04-17,2025-05-04,95,,Electric,,,,
WO200181,A100042,Regulator,San Francisco,37.80416,-122.37473,Assigned,Critical,10,2025-07-15,2025-08-11,0,C116,Electric,,,,
WO200182,A100256,Pole,San Francisco,37.74836,-122.41172,Deferred,High,7,2025-07-14,2025-07-30,8,,Electric,,,,
WO200183,A100095,Gas Valve,East Bay,37.7712,-121.80205,Closed,Critical,10,2025-07-21,2025-09-06,0,C107,Gas,,,,
WO200184,A100056,Regulator,East Bay,37.57283,-121.67595,Closed,High,6,2025-05-18,2025-06-24,0,C104,Electric,,,,
WO200185,A100228,Gas Valve,San Francisco,37.77693,-122.51513,Open,Critical,10,2025-06-26,2025-08-20,0,,Gas,,,,
WO200186,A100296,Regulator,Central Valley,36.83703,-120.63347,Deferred,Low,2,2025-06-12,2025-07-16,22,,Electric,,,,
WO200187,A100223,Transformer,Sierra,38.54518,-120.59482,Open,Critical,10,2025-06-28,2025-07-20,18,,Electric,,,,
WO200188,A100158,Switchgear,South Bay,37.03761,-122.28792,Closed,Critical,10,2025-06-21,2025-07-24,0,C102,Electric,,,,
WO200189,A100167,Switchgear,San Francisco,37.7225,-122.4316,Deferred,Critical,10,2025-04-13,2025-06-05,63,,Electric,,,,
WO200190,A100044,Gas Valve,Central Valley,37.92235,-121.27816,Open,Critical,10,2025-07-10,2025-08-26,0,,Gas,,,,
WO200191,A100019,Gas Valve,Central Valley,36.70059,-121.14747,Assigned,Critical,10,2025-04-16,2025-05-25,74,C105,Gas,,,,
WO200192,A100084,Transformer,San Francisco,37.80158,-122.47438,Closed,Critical,10,2025-06-02,2025-06-09,0,C117,Electric,,,,
WO200193,A100009,Feeder,North Bay,38.34442,-122.95456,Assigned,Critical,9,2025-06-22,2025-07-10,28,C102,Electric,,,,
WO200194,A100182,Switchgear,North Bay,38.22606,-123.10667,Open,Critical,10,2025-06-06,2025-06-26,42,,Electric,,,,
WO200195,A100075,Substation Equipment,East Bay,37.98484,-122.37399,Closed,Critical,10,2025-07-05,2025-07-20,0,C117,Electric,,,,
WO200196,A100221,Pole,Central Valley,36.5946,-120.99649,In Progress,Critical,10,2025-04-21,2025-05-12,87,C107,Electric,,,,
WO200197,A100259,Pole,Central Valley,36.82896,-120.73647,Closed,Critical,10,2025-05-13,2025-05-25,0,C120,Electric,,,,
WO200198,A100146,Transformer,Central Valley,37.21516,-121.44487,Closed,Medium,4,2025-04-26,2025-06-03,0,C106,Electric,,,,
WO200199,A100207,Pole,Peninsula,37.59178,-122.14228,In Progress,Critical,10,2025-07-02,2025-07-17,21,C107,Electric,,,,
WO200200,A100250,Feeder,Central Valley,36.57231,-120.54701,Open,Critical,10,2025-05-15,2025-06-10,58,,Electric,,,,
WO200201,A100223,Transformer,Sierra,39.56464,-120.58146,Closed,Critical,10,2025-07-20,2025-09-09,0,C114,Electric,,,,
WO200202,A100272,Feeder,North Bay,38.17534,-122.52753,Closed,Critical,10,2025-04-12,2025-06-04,0,C117,Electric,,,,
WO200203,A100255,Regulator,San Francisco,37.77012,-122.36145,Assigned,Critical,10,2025-04-16,2025-05-15,84,C116,Electric,,,,
WO200204,A100173,Feeder,San Francisco,37.7339,-122.4233,Assigned,Critical,10,2025-07-17,2025-07-24,14,C116,Electric,,,,
WO200205,A100265,Pole,South Bay,37.47521,-121.81032,Open,Critical,10,2025-07-11,2025-08-29,0,,Electric,,,,
WO200206,A100135,Transformer,South Bay,37.24898,-121.83589,Closed,Critical,10,2025-07-05,2025-08-17,0,C112,Electric,,,,
WO200207,A100051,Gas Valve,Central Valley,37.73573,-120.72417,In Progress,Critical,10,2025-07-24,2025-08-10,0,C119,Gas,,,,
WO200208,A100198,Substation Equipment,North Bay,38.60239,-122.95806,Assigned,Critical,10,2025-05-13,2025-05-20,79,C115,Electric,,,,
WO200209,A100277,Pole,East Bay,37.53797,-121.81505,Open,Critical,10,2025-05-23,2025-06-03,65,,Electric,,,,
WO200210,A100177,Pole,East Bay,37.69889,-122.36678,Closed,Critical,10,2025-04-28,2025-05-20,0,C111,Electric,,,,
WO200211,A100149,Feeder,San Francisco,37.72905,-122.42311,Closed,Critical,10,2025-04-20,2025-06-11,0,C119,Electric,,,,
WO200212,A100146,Transformer,Central Valley,37.98612,-121.26143,Assigned,Medium,5,2025-04-23,2025-05-03,96,C104,Electric,,,,
WO200213,A100027,Regulator,South Bay,37.06837,-121.69872,Assigned,Critical,10,2025-04-26,2025-06-03,65,C101,Electric,,,,
WO200214,A100168,Substation Equipment,San Francisco,37.73789,-122.51091,In Progress,Critical,10,2025-05-22,2025-07-19,19,C101,Electric,,,,
WO200215,A100044,Gas Valve,Central Valley,36.61973,-120.81783,Open,Critical,10,2025-06-27,2025-07-09,29,,Gas,,,,
WO200216,A100143,Substation Equipment,San Francisco,37.81322,-122.3976,Open,Critical,10,2025-07-05,2025-07-22,16,,Electric,,,,
WO200217,A100253,Substation Equipment,Central Valley,37.1216,-121.13716,Closed,Critical,10,2025-06-26,2025-08-07,0,C101,Electric,,,,
WO200218,A100194,Gas Valve,San Francisco,37.74157,-122.37637,Deferred,Critical,10,2025-07-26,2025-08-08,0,,Gas,,,,
WO200219,A100290,Substation Equipment,South Bay,37.37648,-122.24532,Open,High,8,2025-04-25,2025-05-14,85,,Electric,,,,
WO200220,A100070,Gas Valve,East Bay,37.64936,-121.71344,In Progress,Critical,9,2025-04-12,2025-05-27,72,C115,Gas,,,,
WO200221,A100331,Pipeline Casing,North Bay,38.42049,-122.42072,In Progress,Low,3,2025-05-27,2025-07-03,35,C106,Gas,CPZ-418,N,7.0,High
WO200222,A100301,Regulator Station,North Bay,38.48753,-122.94247,In Progress,Low,3,2025-07-18,2025-08-08,0,C102,Gas,CPZ-445,N,6.0,Medium
WO200223,A100333,Test Station,Peninsula,37.67103,-122.2724,Assigned,Critical,10,2025-06-18,2025-08-01,6,C117,Gas,CPZ-200,N,10.0,Critical
WO200224,A100335,Regulator Station,San Francisco,37.71991,-122.39504,Open,High,8,2025-05-25,2025-06-04,64,,Gas,CPZ-770,N,8.0,High
WO200225,A100306,Anode Bed,East Bay,37.86223,-121.91118,Open,High,7,2025-04-19,2025-05-21,78,,Gas,CPZ-732,N,7.0,High
WO200226,A100350,Pipeline Casing,South Bay,37.20578,-121.96328,Deferred,High,8,2025-05-16,2025-06-19,49,,Gas,CPZ-545,Y,9.0,Critical
WO200227,A100357,Pipeline Casing,East Bay,37.60412,-122.04531,In Progress,Medium,6,2025-07-15,2025-09-11,0,C106,Gas,CPZ-713,Y,7.0,High
WO200228,A100455,Test Station,North Bay,38.18503,-122.35075,Open,High,8,2025-06-16,2025-07-21,17,,Gas,CPZ-115,N,7.0,High
WO200229,A100444,Pipeline Casing,South Bay,37.16811,-121.6029,Assigned,High,7,2025-06-27,2025-08-25,0,C118,Gas,CPZ-712,N,7.0,High
WO200230,A100383,Anode Bed,San Francisco,37.72792,-122.40053,Open,Critical,10,2025-06-03,2025-07-17,21,,Gas,CPZ-206,Y,10.0,Critical
WO200231,A100320,Test Station,North Bay,38.38807,-122.84994,Closed,Medium,6,2025-05-27,2025-07-25,0,C109,Gas,CPZ-290,N,8.0,High
WO200232,A100466,Gas Distribution Main,San Francisco,37.76764,-122.37813,Deferred,Medium,4,2025-07-13,2025-08-14,0,,Gas,CPZ-636,N,6.0,Medium
WO200233,A100359,Test Station,Sierra,38.53029,-120.95302,Open,High,8,2025-04-16,2025-05-14,85,,Gas,CPZ-194,Y,10.0,Critical
WO200234,A100407,Anode Bed,Central Valley,37.64032,-121.26991,Open,Medium,6,2025-04-21,2025-06-03,65,,Gas,CPZ-664,N,7.0,High
WO200235,A100497,Test Station,Central Valley,37.76358,-120.88583,Open,High,7,2025-04-23,2025-06-03,65,,Gas,CPZ-827,Y,10.0,Critical
WO200236,A100427,Anode Bed,Sierra,39.41205,-120.61498,Assigned,High,8,2025-07-06,2025-07-17,21,C120,Gas,CPZ-724,N,7.0,High
WO200237,A100479,Anode Bed,North Bay,38.66331,-122.44295,Closed,Medium,5,2025-06-20,2025-07-08,0,C105,Gas,CPZ-607,N,7.0,High
WO200238,A100381,Launcher/Receiver,North Bay,38.19462,-122.53242,Open,High,8,2025-07-16,2025-08-13,0,,Gas,CPZ-904,Y,7.0,High
WO200239,A100493,Launcher/Receiver,Central Valley,37.09013,-120.68767,Open,Medium,6,2025-04-14,2025-06-10,58,,Gas,CPZ-843,N,6.0,Medium
WO200240,A100302,Gas Transmission Pipeline,South Bay,37.35973,-122.00383,In Progress,Medium,6,2025-06-03,2025-07-19,19,C113,Gas,CPZ-909,Y,7.0,High
WO200241,A100345,Anode Bed,North Bay,38.26529,-122.59845,Deferred,High,8,2025-06-19,2025-07-06,32,,Gas,CPZ-647,N,8.0,High
WO200242,A100332,Regulator Station,South Bay,37.22532,-121.91657,Deferred,Medium,5,2025-04-25,2025-06-11,57,,Gas,CPZ-559,N,4.0,Medium
WO200243,A100498,Pipeline Casing,South Bay,37.23921,-122.13669,In Progress,Medium,6,2025-06-23,2025-07-03,35,C107,Gas,CPZ-889,N,7.0,High
WO200244,A100451,Valve Station,South Bay,37.29381,-121.62285,Deferred,Critical,9,2025-06-05,2025-06-23,45,,Gas,CPZ-138,N,10.0,Critical
WO200245,A100433,Gas Distribution Main,Central Valley,37.19772,-121.06501,Assigned,High,8,2025-04-23,2025-05-15,84,C112,Gas,CPZ-813,N,10.0,Critical
WO200246,A100450,Anode Bed,South Bay,37.08167,-121.61111,Closed,Low,1,2025-06-17,2025-07-11,0,C120,Gas,CPZ-218,N,5.0,Medium
WO200247,A100413,Test Station,Central Valley,37.13914,-121.19435,In Progress,High,7,2025-06-15,2025-07-30,8,C111,Gas,CPZ-425,N,8.0,High
WO200248,A100442,Pipeline Casing,Peninsula,37.43079,-122.42824,In Progress,Critical,10,2025-07-06,2025-08-15,0,C114,Gas,CPZ-108,Y,10.0,Critical
WO200249,A100355,Anode Bed,Central Valley,36.50832,-121.01509,Open,Low,2,2025-06-19,2025-08-01,6,,Gas,CPZ-687,N,6.0,Medium
WO200250,A100405,Valve Station,South Bay,37.08278,-121.87112,Open,Medium,6,2025-04-28,2025-05-26,73,,Gas,CPZ-327,N,10.0,Critical
WO200251,A100327,Test Station,North Bay,38.23707,-122.70287,Open,Critical,10,2025-05-18,2025-06-22,46,,Gas,CPZ-310,N,10.0,Critical
WO200252,A100347,Gas Distribution Main,San Francisco,37.76512,-122.50932,Closed,Critical,10,2025-04-20,2025-06-12,0,C113,Gas,CPZ-554,Y,10.0,Critical
WO200253,A100321,CP Rectifier,Central Valley,36.95715,-121.10181,In Progress,High,8,2025-05-22,2025-06-14,54,C113,Gas,CPZ-673,Y,10.0,Critical
WO200254,A100457,Anode Bed,San Francisco,37.74061,-122.39614,Assigned,Medium,5,2025-06-20,2025-08-02,5,C110,Gas,CPZ-995,Y,8.0,High
WO200255,A100324,Valve Station,East Bay,37.55295,-122.29528,Deferred,High,7,2025-04-19,2025-06-08,60,,Gas,CPZ-340,N,10.0,Critical
WO200256,A100384,Service Line/Riser,South Bay,37.41029,-121.97455,Assigned,Medium,6,2025-07-19,2025-08-19,0,C109,Gas,CPZ-782,N,8.0,High
WO200257,A100348,Regulator Station,South Bay,37.05132,-121.81012,Open,High,7,2025-06-06,2025-06-26,42,,Gas,CPZ-452,N,8.0,High
WO200258,A100430,Test Station,South Bay,37.32408,-121.6991,Closed,High,8,2025-05-28,2025-06-25,0,C104,Gas,CPZ-365,N,9.0,Critical
WO200259,A100310,CP Rectifier,Peninsula,37.67766,-122.29927,In Progress,Medium,6,2025-04-18,2025-05-15,84,C114,Gas,CPZ-429,N,7.0,High
WO200260,A100385,Anode Bed,San Francisco,37.73991,-122.36741,Closed,Medium,4,2025-04-15,2025-05-26,0,C115,Gas,CPZ-516,N,6.0,Medium
WO200261,A100488,Pipeline Casing,Sierra,38.59744,-120.35949,Assigned,Critical,9,2025-04-29,2025-06-09,59,C104,Gas,CPZ-770,N,9.0,Critical
WO200262,A100431,Anode Bed,Central Valley,37.59969,-120.89477,Assigned,Medium,6,2025-07-01,2025-08-10,0,C111,Gas,CPZ-925,Y,10.0,Critical
WO200263,A100349,Regulator Station,Sierra,39.45076,-120.62567,Closed,High,8,2025-05-05,2025-06-24,0,C110,Gas,CPZ-886,N,9.0,Critical
WO200264,A100439,Gas Transmission Pipeline,North Bay,38.02217,-123.06344,Assigned,Medium,6,2025-06-17,2025-07-14,24,C102,Gas,CPZ-668,Y,10.0,Critical
WO200265,A100492,Pipeline Casing,Central Valley,37.38131,-120.91586,In Progress,Medium,4,2025-06-12,2025-07-20,18,C113,Gas,CPZ-163,N,3.0,Low
WO200266,A100409,Launcher/Receiver,Central Valley,37.17663,-121.2129,Closed,Critical,9,2025-06-22,2025-07-25,0,C111,Gas,CPZ-737,N,10.0,Critical
WO200267,A100440,CP Rectifier,Sierra,39.59061,-121.0894,In Progress,Critical,10,2025-05-27,2025-07-21,17,C119,Gas,CPZ-449,N,9.0,Critical
WO200268,A100459,Test Station,Peninsula,37.67809,-122.38397,In Progress,Low,3,2025-05-05,2025-05-16,83,C108,Gas,CPZ-395,N,7.0,High
WO200269,A100305,Gas Transmission Pipeline,San Francisco,37.76379,-122.43491,In Progress,Medium,5,2025-06-12,2025-06-30,38,C117,Gas,CPZ-657,N,7.0,High
WO200270,A100367,Gas Distribution Main,Peninsula,37.34957,-122.26141,Closed,Medium,5,2025-05-27,2025-06-03,0,C104,Gas,CPZ-877,N,7.0,High
WO200271,A100447,Gas Distribution Main,San Francisco,37.75448,-122.46152,Closed,Medium,6,2025-06-14,2025-07-01,0,C119,Gas,CPZ-741,N,6.0,Medium
WO200272,A100303,Anode Bed,San Francisco,37.74118,-122.40335,Closed,High,8,2025-07-25,2025-09-11,0,C105,Gas,CPZ-753,N,10.0,Critical
WO200273,A100414,Regulator Station,North Bay,38.56282,-122.42811,Assigned,Critical,10,2025-06-13,2025-07-05,33,C101,Gas,CPZ-399,Y,10.0,Critical
WO200274,A100443,Pipeline Casing,North Bay,38.24855,-122.34127,In Progress,Critical,9,2025-07-23,2025-09-13,0,C103,Gas,CPZ-529,N,8.0,High
WO200275,A100495,Test Station,South Bay,37.33697,-121.62093,In Progress,High,7,2025-06-02,2025-06-22,46,C107,Gas,CPZ-983,N,8.0,High
WO200276,A100410,Launcher/Receiver,Sierra,39.23462,-120.01532,Open,High,8,2025-05-18,2025-06-13,55,,Gas,CPZ-386,N,9.0,Critical
WO200277,A100403,Pipeline Casing,East Bay,37.73367,-122.09991,Open,Critical,10,2025-06-19,2025-07-27,11,,Gas,CPZ-640,N,10.0,Critical
WO200278,A100467,Test Station,Central Valley,36.87767,-120.97612,Assigned,Critical,9,2025-05-23,2025-07-06,32,C108,Gas,CPZ-572,N,9.0,Critical
WO200279,A100477,Valve Station,North Bay,38.69156,-122.44819,Assigned,High,8,2025-05-01,2025-05-12,87,C105,Gas,CPZ-199,Y,7.0,High
WO200280,A100468,Test Station,Sierra,39.10159,-120.52374,In Progress,Critical,10,2025-05-18,2025-06-04,64,C111,Gas,CPZ-116,Y,9.0,Critical
WO200281,A100463,CP Rectifier,Sierra,39.53193,-121.16542,In Progress,High,8,2025-07-16,2025-09-03,0,C111,Gas,CPZ-824,N,10.0,Critical
WO200282,A100432,Gas Transmission Pipeline,South Bay,37.02045,-121.93872,Open,Critical,9,2025-06-19,2025-07-16,22,,Gas,CPZ-764,Y,10.0,Critical
WO200283,A100435,Gas Distribution Main,San Francisco,37.70331,-122.51489,Open,Critical,10,2025-06-06,2025-06-24,44,,Gas,CPZ-856,N,9.0,Critical
WO200284,A100423,Test Station,South Bay,37.31396,-122.27317,In Progress,High,7,2025-05-07,2025-05-25,74,C107,Gas,CPZ-462,N,9.0,Critical
WO200285,A100408,Gas Transmission Pipeline,East Bay,37.8663,-121.85752,Open,Critical,10,2025-06-20,2025-07-14,24,,Gas,CPZ-932,N,10.0,Critical
WO200286,A100397,Anode Bed,San Francisco,37.73163,-122.47656,Assigned,High,8,2025-04-23,2025-05-25,74,C107,Gas,CPZ-595,N,10.0,Critical
WO200287,A100436,Anode Bed,North Bay,38.67196,-122.41097,In Progress,High,7,2025-05-06,2025-06-26,42,C117,Gas,CPZ-159,N,8.0,High
WO200288,A100346,Pipeline Casing,East Bay,37.5161,-121.80418,In Progress,Critical,9,2025-05-10,2025-06-23,45,C114,Gas,CPZ-741,N,9.0,Critical
WO200289,A100394,Gas Distribution Main,Peninsula,37.38245,-122.43397,Closed,High,7,2025-05-16,2025-07-08,0,C117,Gas,CPZ-167,N,10.0,Critical
WO200290,A100437,Service Line/Riser,South Bay,37.22859,-122.14394,In Progress,Critical,9,2025-07-22,2025-08-17,0,C119,Gas,CPZ-622,Y,10.0,Critical
WO200291,A100371,Regulator Station,Central Valley,37.33405,-120.99944,In Progress,Medium,5,2025-07-01,2025-08-03,4,C109,Gas,CPZ-476,N,8.0,High
WO200292,A100382,Launcher/Receiver,San Francisco,37.76516,-122.40896,Assigned,Medium,4,2025-06-10,2025-07-10,28,C104,Gas,CPZ-309,N,2.0,Low
WO200293,A100352,Pipeline Casing,Peninsula,37.39464,-122.13327,Assigned,Low,3,2025-05-30,2025-06-19,49,C108,Gas,CPZ-862,N,8.0,High
WO200294,A100318,Gas Transmission Pipeline,South Bay,37.00806,-121.8839,Assigned,High,8,2025-06-11,2025-07-17,21,C114,Gas,CPZ-727,N,7.0,High
WO200295,A100473,Test Station,Sierra,39.16529,-120.03163,Open,Medium,4,2025-05-04,2025-06-27,41,,Gas,CPZ-151,Y,5.0,Medium
WO200296,A100330,Gas Transmission Pipeline,South Bay,37.40348,-122.02394,In Progress,High,7,2025-07-19,2025-08-03,4,C114,Gas,CPZ-345,N,10.0,Critical
WO200297,A100372,Valve Station,Peninsula,37.67098,-122.42065,Assigned,Critical,10,2025-04-12,2025-06-03,65,C104,Gas,CPZ-842,N,10.0,Critical
WO200298,A100358,Anode Bed,North Bay,38.1337,-122.32926,In Progress,High,7,2025-07-16,2025-09-07,0,C105,Gas,CPZ-643,N,6.0,Medium
WO200299,A100485,Test Station,San Francisco,37.78279,-122.45051,In Progress,Medium,5,2025-07-15,2025-07-31,7,C111,Gas,CPZ-165,N,10.0,Critical
WO200300,A100449,Gas Distribution Main,Peninsula,37.38282,-122.23778,Open,High,7,2025-06-09,2025-07-13,25,,Gas,CPZ-220,Y,8.0,High
WO200301,A100480,Gas Transmission Pipeline,Peninsula,37.3985,-122.41786,Open,Critical,10,2025-06-11,2025-08-01,6,,Gas,CPZ-202,N,9.0,Critical
WO200302,A100344,Test Station,North Bay,38.65235,-122.67604,Open,High,7,2025-07-02,2025-08-05,2,,Gas,CPZ-457,N,6.0,Medium
WO200303,A100462,Pipeline Casing,North Bay,38.13726,-123.17539,Assigned,Critical,9,2025-04-28,2025-06-21,47,C118,Gas,CPZ-518,Y,10.0,Critical
WO200304,A100401,Launcher/Receiver,South Bay,37.26174,-122.22364,In Progress,Medium,4,2025-07-14,2025-08-04,3,C119,Gas,CPZ-111,N,7.0,High
WO200305,A100483,Regulator Station,North Bay,38.0099,-122.43712,Closed,Medium,6,2025-04-13,2025-04-28,0,C110,Gas,CPZ-862,N,4.0,Medium
WO200306,A100338,CP Rectifier,San Francisco,37.76788,-122.50642,Open,High,8,2025-04-12,2025-06-07,61,,Gas,CPZ-141,N,7.0,High
WO200307,A100309,CP Rectifier,Peninsula,37.47033,-122.3751,Open,Critical,10,2025-07-15,2025-08-05,2,,Gas,CPZ-411,Y,10.0,Critical
WO200308,A100315,CP Rectifier,Sierra,39.55055,-120.63645,In Progress,Critical,10,2025-05-29,2025-06-10,58,C113,Gas,CPZ-149,N,9.0,Critical
WO200309,A100481,Valve Station,East Bay,37.66245,-122.31983,Open,High,8,2025-06-22,2025-08-15,0,,Gas,CPZ-880,N,10.0,Critical
WO200310,A100490,Test Station,Sierra,39.27642,-120.97533,Open,Medium,6,2025-06-17,2025-07-08,30,,Gas,CPZ-869,N,6.0,Medium
WO200311,A100312,Test Station,Central Valley,37.22455,-120.51444,Open,Critical,10,2025-04-27,2025-05-12,87,,Gas,CPZ-723,N,10.0,Critical
WO200312,A100354,Gas Distribution Main,Central Valley,36.85737,-120.69221,In Progress,Low,3,2025-06-16,2025-08-05,2,C110,Gas,CPZ-371,N,9.0,Critical
WO200313,A100307,Gas Distribution Main,North Bay,38.25325,-122.99456,In Progress,Low,3,2025-06-26,2025-08-05,2,C118,Gas,CPZ-868,N,6.0,Medium
WO200314,A100325,Gas Distribution Main,South Bay,37.42325,-121.91272,Open,Medium,6,2025-07-02,2025-07-21,17,,Gas,CPZ-228,N,7.0,High
WO200315,A100308,Pipeline Casing,North Bay,38.06447,-122.80967,Closed,Medium,4,2025-06-23,2025-08-08,0,C103,Gas,CPZ-771,N,6.0,Medium
WO200316,A100389,CP Rectifier,South Bay,37.10533,-122.00516,Open,Critical,9,2025-05-09,2025-06-23,45,,Gas,CPZ-295,Y,9.0,Critical
WO200317,A100476,Gas Transmission Pipeline,San Francisco,37.79932,-122.46373,In Progress,Medium,6,2025-06-11,2025-08-01,6,C104,Gas,CPZ-921,N,6.0,Medium
WO200318,A100484,Anode Bed,Peninsula,37.40721,-122.1039,Closed,Medium,5,2025-06-22,2025-08-04,0,C114,Gas,CPZ-203,N,9.0,Critical
WO200319,A100336,Regulator Station,San Francisco,37.77983,-122.50218,Open,Medium,6,2025-07-19,2025-08-16,0,,Gas,CPZ-699,Y,7.0,High
WO200320,A100429,Pipeline Casing,Peninsula,37.47675,-122.37263,Deferred,Medium,4,2025-07-04,2025-08-06,1,,Gas,CPZ-539,N,7.0,High
WO200321,A100376,Gas Distribution Main,East Bay,37.96883,-121.67359,Open,High,8,2025-06-30,2025-07-26,12,,Gas,CPZ-867,N,10.0,Critical
WO200322,A100487,Pipeline Casing,East Bay,37.54167,-122.24295,Closed,Critical,9,2025-04-27,2025-05-11,0,C111,Gas,CPZ-529,N,10.0,Critical
WO200323,A100400,Launcher/Receiver,South Bay,37.01029,-121.65733,Closed,Medium,5,2025-06-16,2025-06-30,0,C102,Gas,CPZ-692,N,7.0,High
WO200324,A100379,Gas Transmission Pipeline,San Francisco,37.71409,-122.47183,Open,Critical,9,2025-06-30,2025-07-26,12,,Gas,CPZ-883,N,6.0,Medium
WO200325,A100424,Regulator Station,East Bay,37.78379,-122.25934,Assigned,Critical,10,2025-06-30,2025-08-02,5,C108,Gas,CPZ-594,N,9.0,Critical
WO200326,A100434,Gas Transmission Pipeline,North Bay,38.368,-122.79838,Open,Critical,10,2025-05-24,2025-06-28,40,,Gas,CPZ-252,N,10.0,Critical
WO200327,A100375,Test Station,South Bay,37.19494,-121.77164,Assigned,High,7,2025-07-18,2025-09-06,0,C117,Gas,CPZ-591,Y,10.0,Critical
WO200328,A100426,Gas Distribution Main,East Bay,37.69287,-122.2011,Closed,Medium,4,2025-07-08,2025-08-19,0,C107,Gas,CPZ-428,N,7.0,High
WO200329,A100421,Launcher/Receiver,Central Valley,37.59062,-120.82887,Closed,Medium,4,2025-04-16,2025-05-12,0,C105,Gas,CPZ-589,Y,5.0,Medium
WO200330,A100390,Valve Station,Central Valley,37.18441,-121.2202,In Progress,Critical,9,2025-04-27,2025-05-12,87,C107,Gas,CPZ-876,N,8.0,High
WO200331,A100340,Anode Bed,Central Valley,37.62747,-121.42085,In Progress,Medium,5,2025-06-16,2025-08-01,6,C110,Gas,CPZ-830,N,4.0,Medium
WO200332,A100364,Valve Station,East Bay,37.9438,-122.38711,Open,Medium,5,2025-04-10,2025-06-05,63,,Gas,CPZ-568,N,9.0,Critical
WO200333,A100456,Regulator Station,Central Valley,36.64574,-121.29322,Closed,Low,1,2025-06-29,2025-07-07,0,C104,Gas,CPZ-262,N,4.0,Medium
WO200334,A100366,Service Line/Riser,Peninsula,37.44238,-122.12809,Assigned,Critical,9,2025-04-16,2025-05-16,83,C112,Gas,CPZ-445,Y,8.0,High
WO200335,A100378,Regulator Station,South Bay,37.44114,-121.72439,In Progress,Medium,5,2025-04-10,2025-05-21,78,C111,Gas,CPZ-548,N,4.0,Medium
WO200336,A100417,Gas Distribution Main,Central Valley,37.98872,-121.40115,Assigned,Medium,4,2025-06-25,2025-07-25,13,C119,Gas,CPZ-478,N,5.0,Medium
WO200337,A100472,Launcher/Receiver,Sierra,39.20308,-120.21399,Assigned,Critical,10,2025-04-17,2025-04-27,102,C106,Gas,CPZ-640,Y,9.0,Critical
WO200338,A100415,Test Station,South Bay,37.16991,-121.88345,Assigned,Critical,10,2025-07-05,2025-07-24,14,C113,Gas,CPZ-398,Y,10.0,Critical
WO200339,A100406,Gas Transmission Pipeline,Sierra,38.91942,-120.93935,Open,Medium,5,2025-07-26,2025-08-15,0,,Gas,CPZ-819,N,7.0,High
WO200340,A100471,Regulator Station,Sierra,38.88907,-120.31929,Open,Medium,6,2025-06-29,2025-08-12,0,,Gas,CPZ-853,N,8.0,High
