WorkOrderID,AssetID,AssetType,Region,Latitude,Longitude,Status,Priority,RiskScore,CreatedDate,DueDate,DaysOverdue,AssignedCrewID,Commodity,CPZoneID,HCA_Flag,RiskScore_Rubric,Priority_Rubric,OutageRequired,OutageType,OutageZoneID,ExpectedOutageMinutes,CustomersAffectedEst,CanShareWindow,Description
WO200001,A100255,Regulator,San Francisco,37.78219,-122.3893,Closed,Critical,10,2025-05-06,2025-06-02,0,C113,Electric,,,,,Y,Electric,SanFrancisco_1,50.0,61.0,Y,"Work on Regulator (Asset A100255) in San Francisco, priority Critical, risk score 10."
WO200002,A100294,Regulator,Peninsula,37.38276,-122.3349,Closed,Critical,10,2025-04-13,2025-05-21,0,C104,Electric,,,,,N,Electric,Peninsula_1,66.0,59.0,Y,"Work on Regulator (Asset A100294) in Peninsula, priority Critical, risk score 10."
WO200003,A100077,Substation Equipment,North Bay,38.08368,-122.63362,In Progress,Critical,10,2025-07-24,2025-08-16,0,C106,Electric,,,,,N,Electric,NorthBay_1,181.0,5008.0,Y,"Work on Substation Equipment (Asset A100077) in North Bay, priority Critical, risk score 10."
WO200004,A100083,Feeder,East Bay,37.88927,-122.19482,Deferred,High,7,2025-04-28,2025-06-24,44,,Electric,,,,,N,Electric,EastBay_1,134.0,1008.0,Y,"Work on Feeder (Asset A100083) in East Bay, priority High, risk score 7."
WO200005,A100046,Transformer,Sierra,39.67814,-120.0688,Assigned,Critical,10,2025-07-03,2025-08-12,0,C119,Electric,,,,,Y,Electric,Sierra_1,98.0,209.0,Y,"Work on Transformer (Asset A100046) in Sierra, priority Critical, risk score 10."
WO200006,A100059,Transformer,Central Valley,37.77095,-120.97088,Open,High,6,2025-05-31,2025-07-11,27,,Electric,,,,,Y,Electric,CentralValley_1,80.0,195.0,N,"Work on Transformer (Asset A100059) in Central Valley, priority High, risk score 6."
WO200007,A100193,Feeder,Central Valley,37.17849,-121.22836,Open,Critical,10,2025-05-29,2025-07-07,31,,Electric,,,,,Y,Electric,CentralValley_1,123.0,1019.0,Y,"Work on Feeder (Asset A100193) in Central Valley, priority Critical, risk score 10."
WO200008,A100009,Feeder,North Bay,38.13246,-123.1635,Assigned,Critical,9,2025-04-18,2025-06-17,51,C111,Electric,,,,,N,Electric,NorthBay_1,134.0,998.0,Y,"Work on Feeder (Asset A100009) in North Bay, priority Critical, risk score 9."
WO200009,A100070,Gas Valve,East Bay,37.82665,-121.62068,Deferred,Critical,10,2025-06-06,2025-07-30,8,,Gas,,,,,N,Gas,EastBay_1,69.0,97.0,Y,"Work on Gas Valve (Asset A100070) in East Bay, priority Critical, risk score 10."
WO200010,A100175,Pole,Sierra,39.5129,-120.67693,Open,Critical,10,2025-07-02,2025-08-21,0,,Electric,,,,,N,Electric,Sierra_1,46.0,80.0,Y,"Work on Pole (Asset A100175) in Sierra, priority Critical, risk score 10."
WO200011,A100239,Gas Valve,Peninsula,37.34468,-122.14171,Deferred,Medium,4,2025-05-24,2025-07-18,20,,Gas,,,,,N,Gas,Peninsula_1,59.0,93.0,Y,"Work on Gas Valve (Asset A100239) in Peninsula, priority Medium, risk score 4."
WO200012,A100146,Transformer,Central Valley,37.28741,-120.63998,Assigned,High,6,2025-04-26,2025-06-11,57,C102,Electric,,,,,N,Electric,CentralValley_1,85.0,181.0,N,"Work on Transformer (Asset A100146) in Central Valley, priority High, risk score 6."
WO200013,A100050,Pole,North Bay,38.48249,-122.40426,Assigned,Critical,10,2025-06-26,2025-07-20,18,C102,Electric,,,,,N,Electric,NorthBay_1,52.0,107.0,Y,"Work on Pole (Asset A100050) in North Bay, priority Critical, risk score 10."
WO200014,A100089,Transformer,San Francisco,37.79976,-122.50586,Assigned,Critical,10,2025-07-27,2025-08-07,0,C114,Electric,,,,,Y,Electric,SanFrancisco_1,100.0,209.0,Y,"Work on Transformer (Asset A100089) in San Francisco, priority Critical, risk score 10."
WO200015,A100147,Substation Equipment,Peninsula,37.46027,-122.32175,In Progress,Critical,10,2025-05-09,2025-06-29,39,C119,Electric,,,,,Y,Electric,Peninsula_1,183.0,5017.0,Y,"Work on Substation Equipment (Asset A100147) in Peninsula, priority Critical, risk score 10."
WO200016,A100080,Switchgear,Peninsula,37.37822,-122.12313,Open,Critical,10,2025-06-25,2025-07-08,30,,Electric,,,,,Y,Electric,Peninsula_1,57.0,83.0,N,"Work on Switchgear (Asset A100080) in Peninsula, priority Critical, risk score 10."
WO200017,A100297,Pole,Central Valley,37.09339,-121.48063,Deferred,Critical,9,2025-04-25,2025-05-27,72,,Electric,,,,,Y,Electric,CentralValley_1,56.0,80.0,Y,"Work on Pole (Asset A100297) in Central Valley, priority Critical, risk score 9."
WO200018,A100186,Pole,East Bay,37.72064,-122.3138,Deferred,Critical,10,2025-05-22,2025-06-12,56,,Electric,,,,,N,Electric,EastBay_1,49.0,87.0,Y,"Work on Pole (Asset A100186) in East Bay, priority Critical, risk score 10."
WO200019,A100179,Pole,Peninsula,37.63085,-122.36642,Open,Critical,9,2025-06-08,2025-07-14,24,,Electric,,,,,Y,Electric,Peninsula_1,50.0,108.0,Y,"Work on Pole (Asset A100179) in Peninsula, priority Critical, risk score 9."
WO200020,A100168,Substation Equipment,San Francisco,37.80756,-122.44618,Open,Critical,10,2025-07-12,2025-09-06,0,,Electric,,,,,Y,Electric,SanFrancisco_1,190.0,5018.0,Y,"Work on Substation Equipment (Asset A100168) in San Francisco, priority Critical, risk score 10."
WO200021,A100113,Pole,Peninsula,37.67956,-122.35494,Open,Critical,10,2025-04-17,2025-06-03,65,,Electric,,,,,N,Electric,Peninsula_1,66.0,82.0,N,"Work on Pole (Asset A100113) in Peninsula, priority Critical, risk score 10."
WO200022,A100241,Transformer,South Bay,37.15035,-122.09266,Closed,High,8,2025-05-07,2025-06-18,0,C105,Electric,,,,,Y,Electric,SouthBay_1,78.0,211.0,N,"Work on Transformer (Asset A100241) in South Bay, priority High, risk score 8."
WO200023,A100269,Regulator,North Bay,38.29459,-122.51278,In Progress,High,8,2025-06-13,2025-08-01,6,C114,Electric,,,,,Y,Electric,NorthBay_1,63.0,39.0,Y,"Work on Regulator (Asset A100269) in North Bay, priority High, risk score 8."
WO200024,A100100,Gas Valve,South Bay,37.11413,-121.92318,Closed,High,8,2025-05-30,2025-06-24,0,C105,Gas,,,,,N,Gas,SouthBay_1,64.0,89.0,N,"Work on Gas Valve (Asset A100100) in South Bay, priority High, risk score 8."
WO200025,A100014,Pole,San Francisco,37.71653,-122.3961,Assigned,Critical,10,2025-04-20,2025-06-19,49,C108,Electric,,,,,Y,Electric,SanFrancisco_1,45.0,98.0,N,"Work on Pole (Asset A100014) in San Francisco, priority Critical, risk score 10."
WO200026,A100221,Pole,Central Valley,37.81309,-120.85739,Assigned,Critical,10,2025-06-24,2025-08-15,0,C109,Electric,,,,,N,Electric,CentralValley_1,64.0,113.0,N,"Work on Pole (Asset A100221) in Central Valley, priority Critical, risk score 10."
WO200027,A100084,Transformer,San Francisco,37.78251,-122.37821,Open,Critical,10,2025-06-04,2025-07-24,14,,Electric,,,,,Y,Electric,SanFrancisco_1,91.0,212.0,N,"Work on Transformer (Asset A100084) in San Francisco, priority Critical, risk score 10."
WO200028,A100084,Transformer,San Francisco,37.72901,-122.49334,Closed,Critical,10,2025-07-28,2025-09-24,0,C109,Electric,,,,,N,Electric,SanFrancisco_1,86.0,202.0,Y,"Work on Transformer (Asset A100084) in San Francisco, priority Critical, risk score 10."
WO200029,A100203,Substation Equipment,North Bay,38.30323,-122.82416,In Progress,Critical,10,2025-06-13,2025-07-05,33,C111,Electric,,,,,N,Electric,NorthBay_1,179.0,5007.0,Y,"Work on Substation Equipment (Asset A100203) in North Bay, priority Critical, risk score 10."
WO200030,A100270,Substation Equipment,East Bay,37.58336,-122.1064,Assigned,Critical,10,2025-05-28,2025-07-05,33,C103,Electric,,,,,Y,Electric,EastBay_1,165.0,5011.0,Y,"Work on Substation Equipment (Asset A100270) in East Bay, priority Critical, risk score 10."
WO200031,A100158,Switchgear,South Bay,37.24714,-122.12289,Open,Critical,10,2025-05-05,2025-06-04,64,,Electric,,,,,N,Electric,SouthBay_1,70.0,86.0,N,"Work on Switchgear (Asset A100158) in South Bay, priority Critical, risk score 10."
WO200032,A100235,Regulator,San Francisco,37.81607,-122.5105,Open,Critical,10,2025-06-20,2025-07-21,17,,Electric,,,,,Y,Electric,SanFrancisco_1,58.0,58.0,Y,"Work on Regulator (Asset A100235) in San Francisco, priority Critical, risk score 10."
WO200033,A100184,Substation Equipment,Peninsula,37.59221,-122.15403,Closed,High,6,2025-04-14,2025-05-27,0,C105,Electric,,,,,Y,Electric,Peninsula_1,170.0,4987.0,N,"Work on Substation Equipment (Asset A100184) in Peninsula, priority High, risk score 6."
WO200034,A100049,Regulator,East Bay,37.92448,-122.09749,Assigned,Critical,10,2025-05-22,2025-07-21,17,C119,Electric,,,,,N,Electric,EastBay_1,49.0,30.0,N,"Work on Regulator (Asset A100049) in East Bay, priority Critical, risk score 10."
WO200035,A100170,Switchgear,Central Valley,36.88704,-121.27724,Open,Critical,10,2025-07-27,2025-09-14,0,,Electric,,,,,N,Electric,CentralValley_1,74.0,82.0,Y,"Work on Switchgear (Asset A100170) in Central Valley, priority Critical, risk score 10."
WO200036,A100162,Transformer,East Bay,37.83197,-122.37843,Assigned,Low,1,2025-07-19,2025-09-05,0,C120,Electric,,,,,N,Electric,EastBay_1,85.0,203.0,N,"Work on Transformer (Asset A100162) in East Bay, priority Low, risk score 1."
WO200037,A100064,Pole,Peninsula,37.3848,-122.24231,Open,Low,1,2025-07-16,2025-08-29,0,,Electric,,,,,Y,Electric,Peninsula_1,75.0,102.0,Y,"Work on Pole (Asset A100064) in Peninsula, priority Low, risk score 1."
WO200038,A100231,Feeder,Peninsula,37.55352,-122.37572,Closed,Critical,9,2025-06-29,2025-07-17,0,C112,Electric,,,,,Y,Electric,Peninsula_1,108.0,987.0,Y,"Work on Feeder (Asset A100231) in Peninsula, priority Critical, risk score 9."
WO200039,A100230,Substation Equipment,North Bay,38.62266,-122.50264,Open,High,7,2025-04-19,2025-05-05,94,,Electric,,,,,N,Electric,NorthBay_1,177.0,5016.0,N,"Work on Substation Equipment (Asset A100230) in North Bay, priority High, risk score 7."
WO200040,A100006,Switchgear,San Francisco,37.76353,-122.43105,In Progress,Critical,10,2025-06-07,2025-08-03,4,C120,Electric,,,,,Y,Electric,SanFrancisco_1,55.0,82.0,Y,"Work on Switchgear (Asset A100006) in San Francisco, priority Critical, risk score 10."
WO200041,A100038,Substation Equipment,Central Valley,37.99693,-120.71355,Deferred,Critical,10,2025-05-01,2025-06-15,53,,Electric,,,,,Y,Electric,CentralValley_1,167.0,5012.0,N,"Work on Substation Equipment (Asset A100038) in Central Valley, priority Critical, risk score 10."
WO200042,A100033,Regulator,South Bay,37.35192,-122.07552,Closed,Critical,9,2025-07-17,2025-09-04,0,C118,Electric,,,,,Y,Electric,SouthBay_1,45.0,57.0,N,"Work on Regulator (Asset A100033) in South Bay, priority Critical, risk score 9."
WO200043,A100289,Pole,North Bay,38.18466,-122.41234,Closed,High,6,2025-04-19,2025-06-05,0,C107,Electric,,,,,Y,Electric,NorthBay_1,50.0,87.0,Y,"Work on Pole (Asset A100289) in North Bay, priority High, risk score 6."
WO200044,A100088,Substation Equipment,South Bay,37.00976,-122.1639,Open,High,8,2025-05-26,2025-07-16,22,,Electric,,,,,N,Electric,SouthBay_1,182.0,5013.0,Y,"Work on Substation Equipment (Asset A100088) in South Bay, priority High, risk score 8."
WO200045,A100275,Regulator,East Bay,37.99552,-121.84952,Closed,Critical,10,2025-07-18,2025-09-10,0,C104,Electric,,,,,Y,Electric,EastBay_1,68.0,64.0,Y,"Work on Regulator (Asset A100275) in East Bay, priority Critical, risk score 10."
WO200046,A100142,Pole,San Francisco,37.78787,-122.41221,Open,Critical,10,2025-05-18,2025-06-01,67,,Electric,,,,,N,Electric,SanFrancisco_1,54.0,111.0,Y,"Work on Pole (Asset A100142) in San Francisco, priority Critical, risk score 10."
WO200047,A100256,Pole,San Francisco,37.7774,-122.44394,Open,High,8,2025-06-29,2025-08-27,0,,Electric,,,,,Y,Electric,SanFrancisco_1,49.0,103.0,N,"Work on Pole (Asset A100256) in San Francisco, priority High, risk score 8."
WO200048,A100131,Substation Equipment,Central Valley,36.62303,-121.36209,Open,Critical,9,2025-05-26,2025-07-07,31,,Electric,,,,,N,Electric,CentralValley_1,187.0,4993.0,Y,"Work on Substation Equipment (Asset A100131) in Central Valley, priority Critical, risk score 9."
WO200049,A100143,Substation Equipment,San Francisco,37.70859,-122.3716,In Progress,Critical,10,2025-05-30,2025-06-15,53,C108,Electric,,,,,N,Electric,SanFrancisco_1,174.0,5011.0,Y,"Work on Substation Equipment (Asset A100143) in San Francisco, priority Critical, risk score 10."
WO200050,A100101,Substation Equipment,Sierra,38.99541,-120.81041,In Progress,Medium,5,2025-05-26,2025-06-12,56,C101,Electric,,,,,Y,Electric,Sierra_1,176.0,4995.0,Y,"Work on Substation Equipment (Asset A100101) in Sierra, priority Medium, risk score 5."
WO200051,A100114,Transformer,Central Valley,37.16294,-120.67974,Assigned,Medium,4,2025-07-08,2025-09-06,0,C119,Electric,,,,,N,Electric,CentralValley_1,76.0,183.0,Y,"Work on Transformer (Asset A100114) in Central Valley, priority Medium, risk score 4."
WO200052,A100046,Transformer,Sierra,39.04887,-120.10105,Assigned,Critical,10,2025-05-26,2025-07-14,24,C115,Electric,,,,,N,Electric,Sierra_1,87.0,216.0,N,"Work on Transformer (Asset A100046) in Sierra, priority Critical, risk score 10."
WO200053,A100107,Transformer,Sierra,39.37804,-120.99046,Assigned,High,8,2025-06-11,2025-07-15,23,C103,Electric,,,,,N,Electric,Sierra_1,82.0,200.0,Y,"Work on Transformer (Asset A100107) in Sierra, priority High, risk score 8."
WO200054,A100025,Substation Equipment,East Bay,37.66463,-122.17183,Assigned,High,8,2025-07-05,2025-08-21,0,C101,Electric,,,,,N,Electric,EastBay_1,166.0,4993.0,N,"Work on Substation Equipment (Asset A100025) in East Bay, priority High, risk score 8."
WO200055,A100240,Pole,Peninsula,37.60396,-122.11722,Open,Critical,9,2025-07-26,2025-09-10,0,,Electric,,,,,N,Electric,Peninsula_1,64.0,110.0,Y,"Work on Pole (Asset A100240) in Peninsula, priority Critical, risk score 9."
WO200056,A100075,Substation Equipment,East Bay,37.81366,-122.21191,Closed,Critical,10,2025-04-25,2025-05-23,0,C104,Electric,,,,,N,Electric,EastBay_1,165.0,4997.0,N,"Work on Substation Equipment (Asset A100075) in East Bay, priority Critical, risk score 10."
WO200057,A100125,Transformer,San Francisco,37.7755,-122.4485,Assigned,High,6,2025-05-24,2025-06-30,38,C105,Electric,,,,,Y,Electric,SanFrancisco_1,105.0,186.0,Y,"Work on Transformer (Asset A100125) in San Francisco, priority High, risk score 6."
WO200058,A100253,Substation Equipment,Central Valley,37.66491,-120.9622,In Progress,Critical,10,2025-07-24,2025-08-13,0,C105,Electric,,,,,Y,Electric,CentralValley_1,169.0,4989.0,Y,"Work on Substation Equipment (Asset A100253) in Central Valley, priority Critical, risk score 10."
WO200059,A100157,Transformer,South Bay,37.17904,-122.09897,Closed,High,7,2025-06-15,2025-06-28,0,C112,Electric,,,,,Y,Electric,SouthBay_1,83.0,186.0,N,"Work on Transformer (Asset A100157) in South Bay, priority High, risk score 7."
WO200060,A100045,Pole,East Bay,37.73135,-121.73737,Closed,Critical,9,2025-06-15,2025-07-22,0,C118,Electric,,,,,Y,Electric,EastBay_1,61.0,112.0,Y,"Work on Pole (Asset A100045) in East Bay, priority Critical, risk score 9."
WO200061,A100147,Substation Equipment,Peninsula,37.43101,-122.11514,Assigned,Critical,10,2025-04-21,2025-05-11,88,C111,Electric,,,,,Y,Electric,Peninsula_1,173.0,5002.0,N,"Work on Substation Equipment (Asset A100147) in Peninsula, priority Critical, risk score 10."
WO200062,A100285,Pole,Peninsula,37.63639,-122.21135,In Progress,Critical,10,2025-06-04,2025-06-27,41,C110,Electric,,,,,Y,Electric,Peninsula_1,55.0,100.0,Y,"Work on Pole (Asset A100285) in Peninsula, priority Critical, risk score 10."
WO200063,A100244,Regulator,Peninsula,37.52388,-122.45053,Closed,Medium,5,2025-06-21,2025-07-20,0,C113,Electric,,,,,N,Electric,Peninsula_1,59.0,48.0,Y,"Work on Regulator (Asset A100244) in Peninsula, priority Medium, risk score 5."
WO200064,A100237,Gas Valve,Peninsula,37.36437,-122.2362,Deferred,Critical,10,2025-06-16,2025-07-25,13,,Gas,,,,,N,Gas,Peninsula_1,68.0,98.0,Y,"Work on Gas Valve (Asset A100237) in Peninsula, priority Critical, risk score 10."
WO200065,A100156,Regulator,North Bay,38.52998,-122.98112,Deferred,Critical,10,2025-05-25,2025-06-23,45,,Electric,,,,,Y,Electric,NorthBay_1,50.0,65.0,N,"Work on Regulator (Asset A100156) in North Bay, priority Critical, risk score 10."
WO200066,A100176,Substation Equipment,East Bay,37.55732,-121.9212,Closed,Critical,9,2025-05-06,2025-06-13,0,C111,Electric,,,,,N,Electric,EastBay_1,187.0,5008.0,Y,"Work on Substation Equipment (Asset A100176) in East Bay, priority Critical, risk score 9."
WO200067,A100034,Transformer,North Bay,38.08495,-122.75966,In Progress,High,8,2025-07-04,2025-07-31,7,C105,Electric,,,,,Y,Electric,NorthBay_1,77.0,197.0,Y,"Work on Transformer (Asset A100034) in North Bay, priority High, risk score 8."
WO200068,A100144,Switchgear,Peninsula,37.38021,-122.38047,Open,Critical,10,2025-05-14,2025-06-30,38,,Electric,,,,,N,Electric,Peninsula_1,74.0,81.0,Y,"Work on Switchgear (Asset A100144) in Peninsula, priority Critical, risk score 10."
WO200069,A100164,Pole,South Bay,37.10196,-122.2995,Closed,High,6,2025-07-23,2025-08-24,0,C113,Electric,,,,,Y,Electric,SouthBay_1,75.0,80.0,Y,"Work on Pole (Asset A100164) in South Bay, priority High, risk score 6."
WO200070,A100199,Pole,Central Valley,36.96973,-120.95459,Open,Critical,10,2025-05-20,2025-07-02,36,,Electric,,,,,N,Electric,CentralValley_1,61.0,84.0,Y,"Work on Pole (Asset A100199) in Central Valley, priority Critical, risk score 10."
WO200071,A100172,Regulator,South Bay,37.13798,-121.73177,Open,Critical,10,2025-06-20,2025-07-03,35,,Electric,,,,,N,Electric,SouthBay_1,49.0,49.0,N,"Work on Regulator (Asset A100172) in South Bay, priority Critical, risk score 10."
WO200072,A100238,Transformer,North Bay,38.54107,-122.65644,Deferred,Critical,10,2025-07-04,2025-09-01,0,,Electric,,,,,Y,Electric,NorthBay_1,104.0,190.0,N,"Work on Transformer (Asset A100238) in North Bay, priority Critical, risk score 10."
WO200073,A100073,Transformer,Peninsula,37.41428,-122.34636,In Progress,Critical,10,2025-05-12,2025-07-07,31,C117,Electric,,,,,Y,Electric,Peninsula_1,102.0,181.0,N,"Work on Transformer (Asset A100073) in Peninsula, priority Critical, risk score 10."
WO200074,A100072,Transformer,Central Valley,37.28946,-120.76635,Assigned,Critical,9,2025-05-20,2025-07-05,33,C105,Electric,,,,,N,Electric,CentralValley_1,86.0,182.0,N,"Work on Transformer (Asset A100072) in Central Valley, priority Critical, risk score 9."
WO200075,A100009,Feeder,North Bay,38.21626,-123.03296,In Progress,Critical,10,2025-05-09,2025-06-28,40,C120,Electric,,,,,N,Electric,NorthBay_1,122.0,1002.0,Y,"Work on Feeder (Asset A100009) in North Bay, priority Critical, risk score 10."
WO200076,A100194,Gas Valve,San Francisco,37.76994,-122.45511,Open,Critical,10,2025-05-02,2025-05-14,85,,Gas,,,,,N,Gas,SanFrancisco_1,58.0,91.0,N,"Work on Gas Valve (Asset A100194) in San Francisco, priority Critical, risk score 10."
WO200077,A100197,Transformer,South Bay,37.44668,-122.1028,Assigned,Critical,10,2025-05-04,2025-06-20,48,C106,Electric,,,,,N,Electric,SouthBay_1,95.0,199.0,Y,"Work on Transformer (Asset A100197) in South Bay, priority Critical, risk score 10."
WO200078,A100176,Substation Equipment,East Bay,37.8643,-121.8246,Open,Critical,10,2025-07-16,2025-09-03,0,,Electric,,,,,Y,Electric,EastBay_1,188.0,4984.0,Y,"Work on Substation Equipment (Asset A100176) in East Bay, priority Critical, risk score 10."
WO200079,A100015,Feeder,Peninsula,37.60203,-122.38557,Closed,Critical,10,2025-07-24,2025-08-26,0,C101,Electric,,,,,Y,Electric,Peninsula_1,115.0,1016.0,Y,"Work on Feeder (Asset A100015) in Peninsula, priority Critical, risk score 10."
WO200080,A100174,Transformer,San Francisco,37.72959,-122.48422,Open,Critical,10,2025-06-11,2025-08-09,0,,Electric,,,,,Y,Electric,SanFrancisco_1,83.0,217.0,Y,"Work on Transformer (Asset A100174) in San Francisco, priority Critical, risk score 10."
WO200081,A100138,Pole,San Francisco,37.79159,-122.3681,In Progress,High,7,2025-06-19,2025-07-31,7,C110,Electric,,,,,N,Electric,SanFrancisco_1,46.0,109.0,N,"Work on Pole (Asset A100138) in San Francisco, priority High, risk score 7."
WO200082,A100260,Feeder,Peninsula,37.47806,-122.19809,Open,Critical,10,2025-07-05,2025-08-07,0,,Electric,,,,,N,Electric,Peninsula_1,116.0,988.0,Y,"Work on Feeder (Asset A100260) in Peninsula, priority Critical, risk score 10."
WO200083,A100063,Pole,Peninsula,37.3792,-122.17209,In Progress,Medium,3,2025-07-26,2025-08-29,0,C119,Electric,,,,,Y,Electric,Peninsula_1,47.0,113.0,Y,"Work on Pole (Asset A100063) in Peninsula, priority Medium, risk score 3."
WO200084,A100137,Pole,South Bay,37.17529,-121.63571,In Progress,Critical,9,2025-07-22,2025-08-29,0,C102,Electric,,,,,Y,Electric,SouthBay_1,47.0,114.0,Y,"Work on Pole (Asset A100137) in South Bay, priority Critical, risk score 9."
WO200085,A100259,Pole,Central Valley,37.72561,-121.13905,Closed,Critical,10,2025-04-14,2025-04-28,0,C114,Electric,,,,,Y,Electric,CentralValley_1,45.0,101.0,N,"Work on Pole (Asset A100259) in Central Valley, priority Critical, risk score 10."
